"Milk production and utilization c 1"
"Frequency: Monthly"
"Table: 32-10-0113-01 (formerly CANSIM 003-0011)"
"Release date: 2025-06-10"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada"
"Dairy distribution 2","Reference period"
,,"Kilolitres"
,"August 2010","401,840"
,"September 2010","367,405"
,"October 2010","377,213"
,"November 2010","364,178"
,"December 2010","379,370"
,"January 2011","406,615"
,"February 2011","363,122"
,"March 2011","405,030"
,"April 2011","394,112"
,"May 2011","418,775"
,"June 2011","405,922"
,"July 2011","426,455"
,"August 2011","410,572"
,"September 2011","385,448"
,"October 2011","393,996"
,"November 2011","373,965"
,"December 2011","406,524"
,"January 2012","429,252"
,"February 2012","403,721"
,"March 2012","428,605"
,"April 2012","420,603"
,"May 2012","431,263"
,"June 2012","416,916"
,"July 2012","437,400"
,"August 2012","422,503"
,"September 2012","403,861"
,"October 2012","410,257"
,"November 2012","398,273"
,"December 2012","422,232"
,"January 2013","430,688"
,"February 2013","384,565"
,"March 2013","430,375"
,"April 2013","408,951"
,"May 2013","425,595"
,"June 2013","411,642"
,"July 2013","419,689"
,"August 2013","417,922"
,"September 2013","402,588"
,"October 2013","400,264"
,"November 2013","382,766"
,"December 2013","396,835"
,"January 2014","408,044"
,"February 2014","369,915"
,"March 2014","416,094"
,"April 2014","399,436"
,"May 2014","422,016"
,"June 2014","420,043"
,"July 2014","437,634"
,"August 2014","435,025"
,"September 2014","412,689"
,"October 2014","412,067"
,"November 2014","404,998"
,"December 2014","419,556"
,"January 2015","438,181"
,"February 2015","391,866"
,"March 2015","444,957"
,"April 2015","442,139"
,"May 2015","474,087"
,"June 2015","454,290"
,"July 2015","471,689"
,"August 2015","465,099"
,"September 2015","433,288"
,"October 2015","435,145"
,"November 2015","426,752"
,"December 2015","446,009"
,"January 2016","477,053"
,"February 2016","440,444"
,"March 2016","473,616"
,"April 2016","460,640"
,"May 2016","484,907"
,"June 2016","463,755"
,"July 2016","484,329"
,"August 2016","477,603"
,"September 2016","454,346"
,"October 2016","469,327"
,"November 2016","459,590"
,"December 2016","462,905"
,"January 2017","515,195"
,"February 2017","465,569"
,"March 2017","518,617"
,"April 2017","512,387"
,"May 2017","534,007"
